4	14	8
10	4	20
18	22	14
22	10	4
26	10	10
30	12	2
34	12	-4
40	14	12
44	2	2
46	10	4
50	10	-2
56	12	14
58	8	0
62	8	-6
68	10	10
70	4	-2
72	4	10
76	6	2
76	2	0
78	2	12
80	-2	-2
82	6	0
86	6	-6
92	8	10
94	2	-2
96	2	10
94	-12	-4
94	-12	-4
